IMU_No   AccX,AccY,AccZ,GyroX,GyroY,GyroZ
IMU 2   -11648,1384,2640,-594,491,862
        -17536,-11520,-2464,-
IMU 3   1277,4793,7022
IMU 1   7844,15016,-4072,-104,-165,291
IMU 2   -13788,11308,-2860,84,1581,-3269
IMU 3   -23772,-14648,8116,1002,4241,5258
IMU 1   -1152,-6128,-3780,-629,-163,-584
IMU 2   -21664,2956,1228,-478,-707,-564
IMU 3   -26128,16692,-25644,1318,-169,-464
IMU 1   6444,16736,188,-477,-793,514
IMU 2   -12180,-11752,-16,1867,426,-2312
IMU 3   -13248,-7624,-4916,-378,-1627,-3279
IMU 1   2408,8200,-2312,-240,-39,253
IMU 2   -14844,-1076,188,-758,417,-1786
IMU 3   -15124,-5936,-2704,179,-908,-1533

IMU 1   4028,10768,-2720,518,-362,146
IMU 2   -14692,872,-32,-1346,228,-1844
IMU 3   -15476,-5008,-1336,921,-356,-868
IMU 1   4696,23948,292,-553,298,38
IMU 2   -15300,1044,-1540,-1071,363,-1847
IMU 3   -15692,-5944,-1676,381,-778,-1348
IMU 1   3684,11940,-7832,167,391,26
IMU 2   -16636,2396,-824,63,44,-1175
IMU 3   -18636,-6368,1468,710,-2168,-2594
IMU 1   3448,12300,-3492,-477,380,98
IMU 2   -17156,5092,-536,1724,-935,316
IMU 3   -26068,-4568,-916,3635,-2849,-4133
IMU 1   1352,15200,-7180,-1326,-322,-673
IMU 2   -19484,768,2452,2550,-584,3469
        -11160,-11040,-5612,1685,-1016,-
IMU 3   3618
IMU 1   5020,19284,-5740,-393,-331,103
IMU 2   -15744,508,1184,545,54,3831
IMU 3   -8256,-2480,-1452,-2237,1948,4804
IMU 1   6692,18532,-8356,445,-533,144
IMU 2   -11512,540,1116,-584,542,2545
IMU 3   -16380,-9760,-2584,-2096,3597,6940
IMU 1   1796,6588,-2964,502,-364,158
IMU 2   -11952,636,620,-951,256,-1623
IMU 3   -27820,-14072,676,1137,5331,7238
IMU 1   1524,12224,-5172,-522,-164,253
IMU 2   -12756,18952,5216,-168,428,87
        -15896,-19832,18336,-70,-1718,-
IMU 3   2342
IMU 1   3636,14404,-6328,-536,112,-48
IMU 2   -8520,-14152,-6312,-3252,1565,1552
        -12068,-3240,-8980,-2242,-1921,-
IMU 3   3578
IMU 1   2228,12740,-2236,-195,-118,129
IMU 2   -14496,-2140,1144,-1325,152,-1848
IMU 3   -14996,-6076,-2748,-59,-1076,-1658
IMU 1   6852,32767,-16732,-11,1071,589
IMU 2   -14916,1404,-712,-1560,91,-2010
IMU 3   -15452,-5700,-708,1191,-349,-932
IMU 1   3896,15096,-4920,156,345,256
IMU 2   -15140,612,212,-16,287,-2035
IMU 3   -16000,-5960,-412,723,-1126,-1322
IMU 1   4760,13440,-6576,476,-470,327
IMU 2   -16148,592,-1296,598,15,-2242
IMU 3   -16992,-6204,1112,937,-1508,-1933
IMU 1   -1192,6092,-5528,378,-433,144
IMU 2   -19056,2528,-1428,1764,-708,56
IMU 3   -24756,-5180,972,2604,-2822,-3836
IMU 1   4576,17996,-9420,-520,377,18
IMU 2   -19008,-3648,4064,2160,-780,3489
        -10948,-9804,-4512,1646,-1866,-
IMU 3   3503
IMU 1   6788,21228,-3412,390,-149,689
